Molecule;Target;ATC;Action;pCHEMBL
amoxapine;dopamine d2 receptor;N06AA17;antagonist;7.590406
amphetamine;dopamine d2 receptor;N06BA01;NA;5.000000
apomorphine;dopamine d2 receptor;G04BE07. N04BC07;agonist;6.891786
apomorphine;dopamine d2 receptor;G04BE07. N04BC07;agonist;6.979512
aripiprazole;dopamine d2 receptor;N05AX12;partial agonist;9.095557
aripiprazole;dopamine d2 receptor;N05AX12;partial agonist;8.568265
asenapine;dopamine d2 receptor;N05AH05;antagonist;8.920000
atomoxetine;dopamine d2 receptor;N06BA09;NA;5.477226
azapirone family;dopamine d2 receptor;N05A-1;NA;9.221849
benperidol;dopamine d2 receptor;N05AD07;antagonist;10.569318
blonanserin;dopamine d2 receptor;N05A-2;antagonist;9.850000
brexpiprazole;dopamine d2 receptor;N05AX16;partial agonist;9.522879
brexpiprazole;dopamine d2 receptor;N05AX16;partial agonist;9.520000
bromocriptine;dopamine d2 receptor;N04BC01. G02CB01;agonist;7.816613
bromocriptine;dopamine d2 receptor;N04BC01. G02CB01;agonist;8.127381
bromperidol;dopamine d2 receptor;N05AD06;NA;8.914278
bupropion;dopamine d2 receptor;N06AX12;NA;5.000000
cabergoline;dopamine d2 receptor;N04BC06. G02CB03;agonist;9.020000
cabergoline;dopamine d2 receptor;N04BC06. G02CB03;agonist;9.099451
carbamazepine;dopamine d2 receptor;N03AF01;NA;5.000000
cariprazine;dopamine d2 receptor;N05AX15;modulator;8.885078
cariprazine;dopamine d2 receptor;N05AX15;partial agonist;9.309804
celecoxib;dopamine d2 receptor;L01XX33. M01AH01;NA;5.000000
chlorpromazine;dopamine d2 receptor;N05AA01;antagonist;8.460151
chlorpromazine;dopamine d2 receptor;N05AA01;antagonist;7.813542
chlorprothixene;dopamine d2 receptor;N05AF03;antagonist;8.433164
citalopram;dopamine d2 receptor;N06AB04;NA;5.000000
clomipramine;dopamine d2 receptor;N06AA04;NA;6.871890
clozapine;dopamine d2 receptor;N05AH02;antagonist;6.765397
clozapine;dopamine d2 receptor;N05AH02;antagonist;6.946069
clozapine;dopamine d2 receptor;N05AH02;antagonist;7.221849
cocaine;dopamine d2 receptor;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.000000
cyamemazine;dopamine d2 receptor;N05AA06;NA;8.236572
cyproheptadine;dopamine d2 receptor;R06AX02;NA;6.950782
desipramine;dopamine d2 receptor;N06AA01;NA;5.628534
desvenlafaxine;dopamine d2 receptor;N06AX23;NA;5.000000
diclofenac;dopamine d2 receptor;D11AX18. M01AB05. M02AA15. S01BC03;NA;5.000000
domperidone;dopamine d2 receptor;A03FA03;antagonist;8.590760
dopamine;dopamine d2 receptor;C01CA04;agonist;5.794254
dopamine;dopamine d2 receptor;C01CA04;agonist;6.114702
doxepin;dopamine d2 receptor;N06AA12. D04AX01;NA;6.017659
droperidol;dopamine d2 receptor;N05AD08;antagonist;9.602060
duloxetine;dopamine d2 receptor;N06AX21;NA;5.000000
ephedrine;dopamine d2 receptor;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;NA;5.000000
ergotamine;dopamine d2 receptor;N02CA02;agonist;5.000000
etoricoxib;dopamine d2 receptor;M01AH05;NA;5.000000
fenfluramine;dopamine d2 receptor;A08AA02;NA;5.000000
fluoxetine;dopamine d2 receptor;N06AB03;NA;5.000000
flupentixol;dopamine d2 receptor;N05AF01;antagonist;8.105102
fluphenazine;dopamine d2 receptor;N05AB02;antagonist;9.048469
fluspirilene;dopamine d2 receptor;N05AG01;antagonist;9.173925
fluspirilene;dopamine d2 receptor;N05AG01;antagonist;9.698970
haloperidol;dopamine d2 receptor;N05AD01;antagonist;8.789438
haloperidol;dopamine d2 receptor;N05AD01;antagonist;8.342613
haloperidol;dopamine d2 receptor;N05AD01;antagonist;9.173925
ibuprofen;dopamine d2 receptor;C01EB16. G02CC01. M01AE01. M02AA13. R02AX02;NA;5.000000
iloperidone;dopamine d2 receptor;N05AX14;antagonist;8.200659
iloperidone;dopamine d2 receptor;N05AX14;antagonist;7.693697
iloperidone;dopamine d2 receptor;N05AX14;antagonist;7.669586
imipramine;dopamine d2 receptor;N06AA02;NA;6.010920
ketamine;dopamine d2 receptor;N01AX03;partial agonist;5.000000
ketorolac;dopamine d2 receptor;M01AB15. S01BC05;NA;5.000000
levodopa;dopamine d2 receptor;N04BA01;agonist;5.000000
lofepramine;dopamine d2 receptor;N06AA07;NA;5.698970
loxapine;dopamine d2 receptor;N05AH01;antagonist;7.698100
loxapine;dopamine d2 receptor;N05AH01;antagonist;7.875982
lurasidone;dopamine d2 receptor;N05AE05;antagonist;8.774691
maprotiline;dopamine d2 receptor;N06AA21;NA;6.315017
meloxicam;dopamine d2 receptor;M01AC06;NA;5.000000
melperone;dopamine d2 receptor;N05AD03;antagonist;6.978678
memantine;dopamine d2 receptor;N06DX01;partial agonist;5.000000
mesoridazine;dopamine d2 receptor;N05AC03;antagonist;8.259880
metamfetamine;dopamine d2 receptor;N06BA-l;NA;5.000000
methionine;dopamine d2 receptor;V03AB26;NA;5.000000
methylphenidate;dopamine d2 receptor;N06BA04;NA;5.000000
methysergide;dopamine d2 receptor;N02CA04;NA;5.000000
metoclopramide;dopamine d2 receptor;A03FA01;antagonist;7.173848
mianserin;dopamine d2 receptor;N06AX03;antagonist;5.699226
mirtazapine;dopamine d2 receptor;N06AX11;NA;5.835647
mitragynine;dopamine d2 receptor;N02AX-a;NA;5.373042
molindone;dopamine d2 receptor;N05AE02;antagonist;7.576476
naproxen;dopamine d2 receptor;M01AE02. M02AA12. G02CC02;NA;5.000000
nefazodone;dopamine d2 receptor;N06AX06;NA;6.040959
nimesulide;dopamine d2 receptor;M01AX17. M02AA26;NA;5.000000
norepinephrine;dopamine d2 receptor;C01CA03;NA;5.000000
olanzapine;dopamine d2 receptor;N05AH03;antagonist;7.466028
olanzapine;dopamine d2 receptor;N05AH03;antagonist;8.186170
ondansetron;dopamine d2 receptor;A04AA01;NA;5.000000
paliperidone;dopamine d2 receptor;N05AX13;antagonist;8.080000
parecoxib;dopamine d2 receptor;M01AH04;NA;5.000000
paroxetine;dopamine d2 receptor;N06AB05;NA;5.000000
pergolide;dopamine d2 receptor;N04BC02;agonist;7.590000
pergolide;dopamine d2 receptor;N04BC02;agonist;7.635059
perphenazine;dopamine d2 receptor;N05AB03;antagonist;9.287234
phentolamine;dopamine d2 receptor;C04AB01. V03AB36;NA;5.000000
pimozide;dopamine d2 receptor;N05AG02;antagonist;8.314474
pipamperone;dopamine d2 receptor;N05AD05;antagonist;6.920819
pipotiazine;dopamine d2 receptor;N05AC04;antagonist;9.699485
piribedil;dopamine d2 receptor;N04BC08;partial agonist;6.864892
piroxicam;dopamine d2 receptor;M01AC01. M02AA07. S01BC06;NA;5.000000
pramipexole;dopamine d2 receptor;N04BC05;agonist;5.770000
pramipexole;dopamine d2 receptor;N04BC05;agonist;6.476204
prochlorperazine;dopamine d2 receptor;N05AB04;antagonist;8.497100
promazine;dopamine d2 receptor;N05AA03;antagonist;6.610613
propranolol;dopamine d2 receptor;C07AA05;NA;5.000000
protriptyline;dopamine d2 receptor;N06AA11;NA;5.638272
prucalopride;dopamine d2 receptor;A06AX05;NA;5.000000
pseudoephedrine;dopamine d2 receptor;R01BA02;NA;5.000000
psylocibine;dopamine d2 receptor;N06BA-d;NA;5.000000
quetiapine;dopamine d2 receptor;N05AH04;antagonist;6.153048
quetiapine;dopamine d2 receptor;N05AH04;antagonist;6.540661
reboxetine;dopamine d2 receptor;N06AX18;NA;5.000000
remoxipride;dopamine d2 receptor;N05AL04;antagonist;6.903090
remoxipride;dopamine d2 receptor;N05AL04;antagonist;6.436041
remoxipride;dopamine d2 receptor;N05AL04;antagonist;6.903090
reserpine;dopamine d2 receptor;C02AA02;NA;6.232102
risperidone;dopamine d2 receptor;N05AX08;antagonist;8.459974
risperidone;dopamine d2 receptor;N05AX08;antagonist;8.489733
risperidone;dopamine d2 receptor;N05AX08;antagonist;8.769551
rofecoxib;dopamine d2 receptor;M01AH02;NA;5.000000
ropinirole;dopamine d2 receptor;N04BC04;agonist;6.030000
ropinirole;dopamine d2 receptor;N04BC04;agonist;8.140000
rotigotine;dopamine d2 receptor;N04BC09;agonist;10.220000
serotonin;dopamine d2 receptor;N06AB-a;NA;5.000000
sertindole;dopamine d2 receptor;N05AE03;antagonist;8.665284
sertindole;dopamine d2 receptor;N05AE03;antagonist;8.468577
sertindole;dopamine d2 receptor;N05AE03;antagonist;8.700610
sertindole;dopamine d2 receptor;N05AE03;antagonist;9.207608
sertraline;dopamine d2 receptor;N06AB06;NA;5.000000
sulpiride;dopamine d2 receptor;N05AL01;antagonist;6.763521
sulpiride;dopamine d2 receptor;N05AL01;antagonist;7.401660
talipexole;dopamine d2 receptor;N04BX-a;NA;6.010000
talipexole;dopamine d2 receptor;N04BX-a;NA;7.546533
thioridazine;dopamine d2 receptor;N05AC02;antagonist;8.053647
tianeptine;dopamine d2 receptor;N06AX14;NA;5.000000
tiapride;dopamine d2 receptor;N05AL03;antagonist;7.064106
tiotixene;dopamine d2 receptor;N05AF04;NA;9.464070
tranylcypromine;dopamine d2 receptor;N06AF04;NA;5.000000
trazodone;dopamine d2 receptor;N06AX05;NA;5.419564
trifluoperazine;dopamine d2 receptor;N05AB06;antagonist;8.796064
trimipramine;dopamine d2 receptor;N06AA06;NA;6.744727
valdecoxib;dopamine d2 receptor;M01AH03;NA;5.000000
venlafaxine;dopamine d2 receptor;N06AX16;NA;5.000000
vilazodone;dopamine d2 receptor;N06AX24;agonist;6.180000
yohimbine;dopamine d2 receptor;G04BE04;antagonist;6.450589
ziprasidone;dopamine d2 receptor;N05AE04;antagonist;8.337242
ziprasidone;dopamine d2 receptor;N05AE04;antagonist;8.373068
zotepine;dopamine d2 receptor;N05AX11;antagonist;7.958607
zotepine;dopamine d2 receptor;N05AX11;antagonist;7.949627
apomorphine;dopamine d2 short receptor;G04BE07. N04BC07;agonist;7.460000
bromocriptine;dopamine d2 short receptor;N04BC01. G02CB01;agonist;8.300000
cabergoline;dopamine d2 short receptor;N04BC06. G02CB03;agonist;9.210000
cariprazine;dopamine d2 short receptor;N05AX15;partial agonist;9.161151
clozapine;dopamine d2 short receptor;N05AH02;antagonist;6.867672
fluspirilene;dopamine d2 short receptor;N05AG01;antagonist;8.920819
haloperidol;dopamine d2 short receptor;N05AD01;antagonist;8.972803
iloperidone;dopamine d2 short receptor;N05AX14;antagonist;7.876148
olanzapine;dopamine d2 short receptor;N05AH03;antagonist;7.482737
pergolide;dopamine d2 short receptor;N04BC02;agonist;7.500000
pipamperone;dopamine d2 short receptor;N05AD05;antagonist;6.958607
piribedil;dopamine d2 short receptor;N04BC08;partial agonist;6.880000
pramipexole;dopamine d2 short receptor;N04BC05;agonist;6.020000
quetiapine;dopamine d2 short receptor;N05AH04;antagonist;6.350566
risperidone;dopamine d2 short receptor;N05AX08;antagonist;8.350462
ropinirole;dopamine d2 short receptor;N04BC04;agonist;6.170000
sertindole;dopamine d2 short receptor;N05AE03;antagonist;8.236572
talipexole;dopamine d2 short receptor;N04BX-a;NA;6.210000
thioridazine;dopamine d2 short receptor;N05AC02;antagonist;8.255351
ziprasidone;dopamine d2 short receptor;N05AE04;antagonist;8.376751
zotepine;dopamine d2 short receptor;N05AX11;antagonist;8.267606
amisulpride;dopamine d3 receptor;N05AL05;antagonist;8.619789
amitriptyline;dopamine d3 receptor;N06AA09;NA;6.686133
amoxapine;dopamine d3 receptor;N06AA17;antagonist;7.730349
amphetamine;dopamine d3 receptor;N06BA01;NA;5.000000
apomorphine;dopamine d3 receptor;G04BE07. N04BC07;agonist;7.256673
aripiprazole;dopamine d3 receptor;N05AX12;partial agonist;8.673945
brexpiprazole;dopamine d3 receptor;N05AX16;partial agonist;8.958607
bromocriptine;dopamine d3 receptor;N04BC01. G02CB01;agonist;7.912803
bromperidol;dopamine d3 receptor;N05AD06;NA;9.153269
cabergoline;dopamine d3 receptor;N04BC06. G02CB03;agonist;9.100000
cariprazine;dopamine d3 receptor;N05AX15;partial agonist;9.961299
chlorpromazine;dopamine d3 receptor;N05AA01;antagonist;7.921437
chlorprothixene;dopamine d3 receptor;N05AF03;antagonist;8.340517
citalopram;dopamine d3 receptor;N06AB04;NA;5.000000
clomipramine;dopamine d3 receptor;N06AA04;NA;7.410684
clozapine;dopamine d3 receptor;N05AH02;antagonist;6.149867
cyamemazine;dopamine d3 receptor;N05AA06;NA;8.602060
cyproheptadine;dopamine d3 receptor;R06AX02;NA;8.096910
domperidone;dopamine d3 receptor;A03FA03;antagonist;7.821805
dopamine;dopamine d3 receptor;C01CA04;agonist;7.133592
escitalopram;dopamine d3 receptor;N06AB10;NA;5.000000
flupentixol;dopamine d3 receptor;N05AF01;antagonist;7.731312
fluphenazine;dopamine d3 receptor;N05AB02;NA;9.238044
fluspirilene;dopamine d3 receptor;N05AG01;NA;8.711770
haloperidol;dopamine d3 receptor;N05AD01;antagonist;8.228061
iloperidone;dopamine d3 receptor;N05AX14;antagonist;7.999949
imipramine;dopamine d3 receptor;N06AA02;NA;6.412289
ketamine;dopamine d3 receptor;N01AX03;NA;5.000000
loxapine;dopamine d3 receptor;N05AH01;antagonist;7.651098
maprotiline;dopamine d3 receptor;N06AA21;NA;6.297569
melperone;dopamine d3 receptor;N05AD03;NA;7.636578
mesoridazine;dopamine d3 receptor;N05AC03;antagonist;8.098741
methionine;dopamine d3 receptor;V03AB26;NA;5.000000
metoclopramide;dopamine d3 receptor;A03FA01;NA;7.795880
mianserin;dopamine d3 receptor;N06AX03;NA;5.546529
mirtazapine;dopamine d3 receptor;N06AX11;NA;5.242376
mitragynine;dopamine d3 receptor;N02AX-a;NA;5.000000
molindone;dopamine d3 receptor;N05AE02;NA;7.332228
olanzapine;dopamine d3 receptor;N05AH03;antagonist;7.465636
pergolide;dopamine d3 receptor;N04BC02;agonist;8.373187
perphenazine;dopamine d3 receptor;N05AB03;NA;9.423091
pimozide;dopamine d3 receptor;N05AG02;antagonist;8.366214
pipamperone;dopamine d3 receptor;N05AD05;NA;6.602060
pipotiazine;dopamine d3 receptor;N05AC04;NA;9.552842
piribedil;dopamine d3 receptor;N04BC08;partial agonist;6.614983
pramipexole;dopamine d3 receptor;N04BC05;agonist;8.594480
prochlorperazine;dopamine d3 receptor;N05AB04;antagonist;8.479137
promazine;dopamine d3 receptor;N05AA03;antagonist;6.799301
prucalopride;dopamine d3 receptor;A06AX05;NA;5.000000
quetiapine;dopamine d3 receptor;N05AH04;antagonist;6.519711
reboxetine;dopamine d3 receptor;N06AX18;NA;5.000000
remoxipride;dopamine d3 receptor;N05AL04;antagonist;6.099151
reserpine;dopamine d3 receptor;C02AA02;NA;6.223299
risperidone;dopamine d3 receptor;N05AX08;antagonist;7.649059
ropinirole;dopamine d3 receptor;N04BC04;agonist;7.573612
rotigotine;dopamine d3 receptor;N04BC09;agonist;8.400000
sertindole;dopamine d3 receptor;N05AE03;antagonist;8.390471
sertindole;dopamine d3 receptor;N05AE03;antagonist;8.372551
sulpiride;dopamine d3 receptor;N05AL01;antagonist;7.535780
sultopride;dopamine d3 receptor;N05AL02;NA;8.420216
talipexole;dopamine d3 receptor;N04BX-a;NA;7.769942
thioridazine;dopamine d3 receptor;N05AC02;NA;8.543327
tianeptine;dopamine d3 receptor;N06AX14;agonist;5.000000
tiapride;dopamine d3 receptor;N05AL03;antagonist;6.750611
tiotixene;dopamine d3 receptor;N05AF04;NA;9.411301
trifluoperazine;dopamine d3 receptor;N05AB06;NA;9.173690
venlafaxine;dopamine d3 receptor;N06AX16;NA;5.000000
vilazodone;dopamine d3 receptor;N06AX24;agonist;7.150000
yohimbine;dopamine d3 receptor;G04BE04;antagonist;5.501042
ziprasidone;dopamine d3 receptor;N05AE04;antagonist;8.236164
zotepine;dopamine d3 receptor;N05AX11;antagonist;8.191910
acetylsalicylic acid;dopamine d4 receptor;A01AD05. B01AC06. N02BA01;NA;5.000000
amisulpride;dopamine d4 receptor;N05AL05;NA;5.625435
amoxapine;dopamine d4 receptor;N06AA17;antagonist;8.022123
apomorphine;dopamine d4 receptor;G04BE07. N04BC07;agonist;8.081961
aripiprazole;dopamine d4 receptor;N05AX12;partial agonist;6.494816
azapirone family;dopamine d4 receptor;N05A-1;NA;10.045757
benperidol;dopamine d4 receptor;N05AD07;antagonist;10.180228
bromocriptine;dopamine d4 receptor;N04BC01. G02CB01;antagonist;6.443513
bromperidol;dopamine d4 receptor;N05AD06;NA;7.584553
cabergoline;dopamine d4 receptor;N04BC06. G02CB03;agonist;7.274957
celecoxib;dopamine d4 receptor;L01XX33. M01AH01;NA;5.000000
chlorpromazine;dopamine d4 receptor;N05AA01;antagonist;7.920337
chlorprothixene;dopamine d4 receptor;N05AF03;NA;9.191910
clozapine;dopamine d4 receptor;N05AH02;antagonist;7.545471
cocaine;dopamine d4 receptor;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.000000
diclofenac;dopamine d4 receptor;D11AX18. M01AB05. M02AA15. S01BC03;NA;5.000000
dopamine;dopamine d4 receptor;C01CA04;agonist;7.897963
droperidol;dopamine d4 receptor;N05AD08;NA;9.075721
ephedrine;dopamine d4 receptor;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;NA;5.000000
ergotamine;dopamine d4 receptor;N02CA02;NA;5.000000
fenfluramine;dopamine d4 receptor;A08AA02;NA;5.000000
fenoldopam;dopamine d4 receptor;C01CA19;agonist;6.500000
flupentixol;dopamine d4 receptor;N05AF01;NA;6.832594
fluphenazine;dopamine d4 receptor;N05AB02;NA;7.509977
fluspirilene;dopamine d4 receptor;N05AG01;NA;8.055517
haloperidol;dopamine d4 receptor;N05AD01;antagonist;8.552411
ibuprofen;dopamine d4 receptor;C01EB16. G02CC01. M01AE01. M02AA13. R02AX02;NA;5.000000
iloperidone;dopamine d4 receptor;N05AX14;antagonist;8.086617
ketamine;dopamine d4 receptor;N01AX03;NA;5.000000
ketorolac;dopamine d4 receptor;M01AB15. S01BC05;NA;5.000000
loxapine;dopamine d4 receptor;N05AH01;antagonist;8.062596
meloxicam;dopamine d4 receptor;M01AC06;NA;5.000000
melperone;dopamine d4 receptor;N05AD03;NA;6.308045
memantine;dopamine d4 receptor;N06DX01;NA;5.000000
mesoridazine;dopamine d4 receptor;N05AC03;NA;7.955020
methysergide;dopamine d4 receptor;N02CA04;NA;5.000000
mirtazapine;dopamine d4 receptor;N06AX11;NA;5.598944
mitragynine;dopamine d4 receptor;N02AX-a;NA;5.000000
molindone;dopamine d4 receptor;N05AE02;NA;5.977419
naproxen;dopamine d4 receptor;M01AE02. M02AA12. G02CC02;NA;5.000000
nimesulide;dopamine d4 receptor;M01AX17. M02AA26;NA;5.000000
olanzapine;dopamine d4 receptor;N05AH03;antagonist;7.731157
ondansetron;dopamine d4 receptor;A04AA01;NA;5.000000
parecoxib;dopamine d4 receptor;M01AH04;NA;5.000000
pergolide;dopamine d4 receptor;N04BC02;agonist;7.214984
perphenazine;dopamine d4 receptor;N05AB03;NA;7.312733
pimozide;dopamine d4 receptor;N05AG02;NA;8.093084
piribedil;dopamine d4 receptor;N04BC08;antagonist;6.509992
piroxicam;dopamine d4 receptor;M01AC01. M02AA07. S01BC06;NA;5.000000
pramipexole;dopamine d4 receptor;N04BC05;agonist;7.206530
prochlorperazine;dopamine d4 receptor;N05AB04;antagonist;6.641631
prucalopride;dopamine d4 receptor;A06AX05;NA;5.628932
pseudoephedrine;dopamine d4 receptor;R01BA02;NA;5.000000
psylocibine;dopamine d4 receptor;N06BA-d;NA;5.000000
quetiapine;dopamine d4 receptor;N05AH04;antagonist;5.738470
remoxipride;dopamine d4 receptor;N05AL04;antagonist;5.617476
risperidone;dopamine d4 receptor;N05AX08;antagonist;8.073638
ropinirole;dopamine d4 receptor;N04BC04;agonist;6.070000
rotigotine;dopamine d4 receptor;N04BC09;agonist;7.260000
sertindole;dopamine d4 receptor;N05AE03;antagonist;8.411064
sertindole;dopamine d4 receptor;N05AE03;antagonist;8.309630
sulpiride;dopamine d4 receptor;N05AL01;antagonist;6.476356
talipexole;dopamine d4 receptor;N04BX-a;NA;6.480000
thioridazine;dopamine d4 receptor;N05AC02;NA;7.922427
tianeptine;dopamine d4 receptor;N06AX14;NA;5.000000
tiapride;dopamine d4 receptor;N05AL03;NA;7.853872
tiotixene;dopamine d4 receptor;N05AF04;NA;6.565038
trazodone;dopamine d4 receptor;N06AX05;NA;6.153045
trifluoperazine;dopamine d4 receptor;N05AB06;antagonist;7.346831
ziprasidone;dopamine d4 receptor;N05AE04;antagonist;7.400120
zotepine;dopamine d4 receptor;N05AX11;antagonist;7.554710
buspirone;dopamine d4.2 receptor;N05BE01;NA;6.986140
chlorpromazine;dopamine d4.2 receptor;N05AA01;antagonist;7.603428
clozapine;dopamine d4.2 receptor;N05AH02;antagonist;7.363205
dopamine;dopamine d4.2 receptor;C01CA04;agonist;6.565177
fluspirilene;dopamine d4.2 receptor;N05AG01;NA;8.455932
haloperidol;dopamine d4.2 receptor;N05AD01;NA;8.269849
loxapine;dopamine d4.2 receptor;N05AH01;NA;7.853872
mirtazapine;dopamine d4.2 receptor;N06AX11;NA;7.602060
olanzapine;dopamine d4.2 receptor;N05AH03;antagonist;7.407145
pipamperone;dopamine d4.2 receptor;N05AD05;antagonist;8.292430
quetiapine;dopamine d4.2 receptor;N05AH04;antagonist;6.043179
risperidone;dopamine d4.2 receptor;N05AX08;antagonist;7.732591
sertindole;dopamine d4.2 receptor;N05AE03;antagonist;7.816933
sulpiride;dopamine d4.2 receptor;N05AL01;NA;5.989707
tiotixene;dopamine d4.2 receptor;N05AF04;NA;6.274773
trifluoperazine;dopamine d4.2 receptor;N05AB06;NA;6.753269
ziprasidone;dopamine d4.2 receptor;N05AE04;antagonist;7.480542
zotepine;dopamine d4.2 receptor;N05AX11;NA;7.408935
apomorphine;dopamine d4.4 receptor;G04BE07. N04BC07;agonist;8.437075
bromocriptine;dopamine d4.4 receptor;N04BC01. G02CB01;antagonist;5.477226
chlorpromazine;dopamine d4.4 receptor;N05AA01;antagonist;7.833384
clozapine;dopamine d4.4 receptor;N05AH02;antagonist;7.412203
cyamemazine;dopamine d4.4 receptor;N05AA06;NA;8.275724
dopamine;dopamine d4.4 receptor;C01CA04;agonist;7.180088
haloperidol;dopamine d4.4 receptor;N05AD01;NA;8.795459
iloperidone;dopamine d4.4 receptor;N05AX14;antagonist;7.670195
levodopa;dopamine d4.4 receptor;N04BA01;agonist;5.000000
loxapine;dopamine d4.4 receptor;N05AH01;NA;8.244851
olanzapine;dopamine d4.4 receptor;N05AH03;antagonist;7.491726
pergolide;dopamine d4.4 receptor;N04BC02;agonist;7.246473
piribedil;dopamine d4.4 receptor;N04BC08;NA;5.701618
quetiapine;dopamine d4.4 receptor;N05AH04;antagonist;5.640165
risperidone;dopamine d4.4 receptor;N05AX08;antagonist;7.898232
ropinirole;dopamine d4.4 receptor;N04BC04;agonist;5.791649
sertindole;dopamine d4.4 receptor;N05AE03;antagonist;7.732828
ziprasidone;dopamine d4.4 receptor;N05AE04;antagonist;7.826814
acetylsalicylic acid;dopamine d5 receptor;A01AD05. B01AC06. N02BA01;NA;5.000000
amisulpride;dopamine d5 receptor;N05AL05;NA;5.000000
amitriptyline;dopamine d5 receptor;N06AA09;NA;6.769551
apomorphine;dopamine d5 receptor;G04BE07. N04BC07;partial agonist;7.083243
aripiprazole;dopamine d5 receptor;N05AX12;NA;6.096491
bromocriptine;dopamine d5 receptor;N04BC01. G02CB01;agonist;6.303183
cabergoline;dopamine d5 receptor;N04BC06. G02CB03;agonist;7.674959
celecoxib;dopamine d5 receptor;L01XX33. M01AH01;NA;5.000000
chlorpromazine;dopamine d5 receptor;N05AA01;antagonist;6.859924
chlorprothixene;dopamine d5 receptor;N05AF03;NA;8.045757
clozapine;dopamine d5 receptor;N05AH02;antagonist;6.610581
cocaine;dopamine d5 receptor;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.000000
diclofenac;dopamine d5 receptor;D11AX18. M01AB05. M02AA15. S01BC03;NA;5.000000
dopamine;dopamine d5 receptor;C01CA04;agonist;6.620999
ephedrine;dopamine d5 receptor;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;NA;5.000000
ergotamine;dopamine d5 receptor;N02CA02;NA;6.769551
etoricoxib;dopamine d5 receptor;M01AH05;NA;5.000000
fenfluramine;dopamine d5 receptor;A08AA02;NA;5.000000
flupentixol;dopamine d5 receptor;N05AF01;antagonist;8.098455
fluphenazine;dopamine d5 receptor;N05AB02;antagonist;7.858298
haloperidol;dopamine d5 receptor;N05AD01;antagonist;6.622997
hyperici herba;dopamine d5 receptor;N06AX25;NA;5.000000
ibuprofen;dopamine d5 receptor;C01EB16. G02CC01. M01AE01. M02AA13. R02AX02;NA;5.000000
iloperidone;dopamine d5 receptor;N05AX14;NA;6.496209
ketamine;dopamine d5 receptor;N01AX03;NA;5.000000
ketorolac;dopamine d5 receptor;M01AB15. S01BC05;NA;5.000000
loxapine;dopamine d5 receptor;N05AH01;NA;7.124939
maprotiline;dopamine d5 receptor;N06AA21;NA;6.367543
meloxicam;dopamine d5 receptor;M01AC06;NA;5.000000
memantine;dopamine d5 receptor;N06DX01;NA;5.000000
methionine;dopamine d5 receptor;V03AB26;NA;5.000000
methysergide;dopamine d5 receptor;N02CA04;NA;5.000000
mitragynine;dopamine d5 receptor;N02AX-a;NA;5.000000
naproxen;dopamine d5 receptor;M01AE02. M02AA12. G02CC02;NA;5.000000
nimesulide;dopamine d5 receptor;M01AX17. M02AA26;NA;5.000000
norepinephrine;dopamine d5 receptor;C01CA03;agonist;4.949747
olanzapine;dopamine d5 receptor;N05AH03;NA;7.088135
ondansetron;dopamine d5 receptor;A04AA01;NA;5.000000
parecoxib;dopamine d5 receptor;M01AH04;NA;5.000000
pergolide;dopamine d5 receptor;N04BC02;agonist;6.714082
piribedil;dopamine d5 receptor;N04BC08;NA;5.000000
piroxicam;dopamine d5 receptor;M01AC01. M02AA07. S01BC06;NA;5.000000
pramipexole;dopamine d5 receptor;N04BC05;NA;5.000000
pseudoephedrine;dopamine d5 receptor;R01BA02;NA;5.000000
psylocibine;dopamine d5 receptor;N06BA-d;NA;5.000000
quetiapine;dopamine d5 receptor;N05AH04;NA;5.789977
risperidone;dopamine d5 receptor;N05AX08;NA;7.161121
rofecoxib;dopamine d5 receptor;M01AH02;NA;5.000000
ropinirole;dopamine d5 receptor;N04BC04;NA;5.000000
rotigotine;dopamine d5 receptor;N04BC09;agonist;6.000000
serotonin;dopamine d5 receptor;N06AB-a;NA;5.522879
sulpiride;dopamine d5 receptor;N05AL01;NA;5.000000
talipexole;dopamine d5 receptor;N04BX-a;NA;5.460000
thioridazine;dopamine d5 receptor;N05AC02;antagonist;6.076630
tianeptine;dopamine d5 receptor;N06AX14;NA;5.000000
tiotixene;dopamine d5 receptor;N05AF04;NA;6.583359
trazodone;dopamine d5 receptor;N06AX05;NA;5.000000
valdecoxib;dopamine d5 receptor;M01AH03;NA;5.000000
ziprasidone;dopamine d5 receptor;N05AE04;NA;6.818156
zotepine;dopamine d5 receptor;N05AX11;NA;6.605548
4-methylethcathinone;dopamine transporter;N06BA-k;NA;6.247952
amisulpride;dopamine transporter;N05AL05;NA;5.000000
amitriptyline;dopamine transporter;N06AA09;NA;5.380914
amoxapine;dopamine transporter;N06AA17;NA;5.365523
amphetamine;dopamine transporter;N06BA01;antagonist;6.580821
aripiprazole;dopamine transporter;N05AX12;NA;5.491654
armodafinil;dopamine transporter;N06BA13;antagonist;6.190000
atomoxetine;dopamine transporter;N06BA09;antagonist;5.903235
bromperidol;dopamine transporter;N05AD06;NA;5.780000
bupropion;dopamine transporter;N06AX12;antagonist;6.094066
