AE;Target;Action;Intercept;Slope;SE;p_value;Rank;BH20;Sign20
speech disorder;Muscarinic M1 receptor;Antagonist;0.08;0.19;0.22;0.40759;242;0,0979757085;FALSE
disturbance in attention;Melatonin receptor;Agonist;16.02;-1.38;1.33;0.409797;243;0,0983805668;FALSE
social fear;Norepinephrine transporter;Antagonist;8.86;-0.95;0.99;0.409948;244;0,0987854251;FALSE
theft;Histamine H1 receptor;Antagonist;124.16;-15.02;14.61;0.411927;245;0,0991902834;FALSE
disability;Norepinephrine transporter;Antagonist;0.9;-0.07;0.08;0.412558;246;0,0995951417;FALSE
speech disorder;Dopamine D2 receptor;Antagonist;-3.25;0.71;0.86;0.414268;247;0,1000000000;FALSE
loss of personal independence in daily activities;Dopamine D2 receptor;Agonist;0.14;0.03;0.03;0.414577;248;0,1004048583;FALSE
disability;Serotonin 5-HT2 receptor;Antagonist;-0.19;0.12;0.14;0.414996;249;0,1008097166;FALSE
impaired work ability;Adrenergic Beta2 receptor;Antagonist;1.41;-0.09;0.1;0.416881;250;0,1012145749;FALSE
impaired work ability;Dopamine D3 receptor;Antagonist;-0.52;0.09;0.09;0.419502;251;0,1016194332;FALSE
disability;Serotonin 5-HT1 receptor;Agonist;0.94;-0.09;0.08;0.421532;252;0,1020242915;FALSE
impaired self-care;Histamine H1 receptor;Antagonist;-2.69;0.66;0.76;0.423602;253;0,1024291498;FALSE
physical assault;Dopamine D3 receptor;Antagonist;4.6;-0.38;0.38;0.427058;254;0,1028340081;FALSE
unemployment;Histamine H1 receptor;Antagonist;21.95;-2.23;2.26;0.427641;255;0,1032388664;FALSE
impaired work ability;Muscarinic M1 receptor;Antagonist;-1.02;0.23;0.27;0.42899;256;0,1036437247;FALSE
speech disorder;Serotonin 5-HT1 receptor;Antagonist;-7.28;1.53;1.86;0.434892;257;0,1040485830;FALSE
loss of personal independence in daily activities;Serotonin 5-HT6 receptor;Inverse Agonist;1.21;-0.12;0.13;0.43589;258;0,1044534413;FALSE
social problem;Dopamine transporter;Antagonist;-3.32;0.61;0.63;0.436868;259;0,1048582996;FALSE
impaired self-care;Dopamine D2 receptor;Antagonist;-21.04;3.63;4.38;0.439317;260;0,1052631579;FALSE
aggression;Serotonin 5-HT6 receptor;Antagonist;-4.17;1.01;1.24;0.440378;261;0,1056680162;FALSE
verbal abuse;Serotonin 5-HT7 receptor;Inverse Agonist;101.57;-11.91;12.52;0.442082;262;0,1060728745;FALSE
aggression;Serotonin 5-HT3 receptor;Antagonist;3.79;-0.41;0.47;0.442648;263;0,1064777328;FALSE
disturbance in attention;Serotonin 5-HT3 receptor;Antagonist;-3.72;0.83;0.99;0.446477;264;0,1068825911;FALSE
disability;Dopamine D2 receptor;Antagonist;-3.84;0.6;0.76;0.447818;265;0,1072874494;FALSE
gambling;Serotonin 5-HT1 receptor;Partial Agonist;-79.08;16.34;18.91;0.451007;266;0,1076923077;FALSE
aggression;Dopamine D2 receptor;Agonist;2.31;-0.17;0.21;0.454064;267;0,1080971660;FALSE
crime;Dopamine D2 receptor;Antagonist;-7.67;1.39;1.51;0.456172;268;0,1085020243;FALSE
impaired driving ability;Muscarinic M2 receptor;Antagonist;2.46;-0.12;0.15;0.457944;269;0,1089068826;FALSE
poor personal hygiene;Histamine H1 receptor;Antagonist;-1.71;0.64;0.8;0.461292;270;0,1093117409;FALSE
disability;Mu opioid receptor;Agonist;-0.13;0.09;0.12;0.464899;271;0,1097165992;FALSE
legal problem;Mu opioid receptor;Agonist;-1.2;0.44;0.53;0.470746;272;0,1101214575;FALSE
compulsive shopping;Dopamine D2 receptor;Agonist;78.13;-6.2;7.57;0.472656;273;0,1105263158;FALSE
social avoidant behaviour;Serotonin 5-HT1 receptor;Partial Agonist;-4.59;0.83;0.95;0.475483;274;0,1109311741;FALSE
educational problem;Serotonin transporter;Antagonist;8.12;-0.79;1.06;0.479537;275;0,1113360324;FALSE
disability;Serotonin 5-HT6 receptor;Antagonist;4.14;-0.51;0.66;0.486239;276;0,1117408907;FALSE
loss of personal independence in daily activities;Dopamine D2 receptor;Partial Agonist;-0.31;0.11;0.14;0.487553;277;0,1121457490;FALSE
impaired self-care;Dopamine D3 receptor;Antagonist;-37.02;5.82;6.93;0.489769;278;0,1125506073;FALSE
loss of personal independence in daily activities;Delta opioid receptor;Agonist;0.38;0.06;0.08;0.490526;279;0,1129554656;FALSE
social avoidant behaviour;Serotonin 5-HT7 receptor;Antagonist;7.59;-0.66;0.85;0.492396;280;0,1133603239;FALSE
physical assault;Serotonin 5-HT6 receptor;Antagonist;-1.74;0.47;0.56;0.493789;281;0,1137651822;FALSE
impaired work ability;Adrenergic Beta2 receptor;Agonist;1.01;0.07;0.09;0.493889;282;0,1141700405;FALSE
impaired driving ability;Dopamine D2 receptor;Agonist;1.57;-0.11;0.13;0.498597;283;0,1145748988;FALSE
impaired work ability;Serotonin 5-HT1 receptor;Partial Agonist;3.83;-0.35;0.5;0.499866;284;0,1149797571;FALSE
aggression;Dopamine D3 receptor;Partial Agonist;2.13;-0.11;0.15;0.503666;285;0,1153846154;FALSE
impaired work ability;Glucocorticoid receptor;Agonist;-1.95;0.6;0.88;0.508045;286;0,1157894737;FALSE
aggression;Dopamine D5 receptor;Antagonist;4.22;-0.24;0.34;0.51012;287;0,1161943320;FALSE
aggression;Serotonin 5-HT2 receptor;Partial Agonist;3.98;-0.38;0.47;0.510395;288;0,1165991903;FALSE
language disorder;GABA A receptor;Agonist;-18.55;2.93;3.97;0.513926;289;0,1170040486;FALSE
social avoidant behaviour;GABA A receptor;Agonist;-3.46;0.64;0.81;0.51658;290;0,1174089069;FALSE
antisocial behaviour;Dopamine transporter;Antagonist;-0.29;0.37;0.52;0.521322;291;0,1178137652;FALSE
speech disorder;Dopamine D4 receptor;Antagonist;10.09;-0.88;1.29;0.522774;292;0,1182186235;FALSE
social problem;Mu opioid receptor;Agonist;-0.15;0.07;0.09;0.52374;293;0,1186234818;FALSE
speech disorder;Serotonin 5-HT3 receptor;Antagonist;-0.42;0.3;0.44;0.523931;294;0,1190283401;FALSE
impaired work ability;Serotonin 5-HT3 receptor;Antagonist;-0.5;0.21;0.29;0.525479;295;0,1194331984;FALSE
gambling;Dopamine D3 receptor;Partial Agonist;-55.24;10.18;13.39;0.526677;296;0,1198380567;FALSE
verbal abuse;Norepinephrine transporter;Antagonist;2.77;-0.17;0.25;0.53;297;0,1202429150;FALSE
disability;Progesterone receptor;Agonist;4.44;-0.37;0.55;0.532672;298;0,1206477733;FALSE
job dissatisfaction;Serotonin transporter;Antagonist;4.96;-0.33;0.5;0.53499;299;0,1210526316;FALSE
aggression;Adrenergic Beta1 receptor;Antagonist;1.8;-0.15;0.22;0.53657;300;0,1214574899;FALSE
antisocial behaviour;Serotonin 5-HT2 receptor;Antagonist;13.51;-1.75;2.36;0.536869;301;0,1218623482;FALSE
aggression;Serotonin 5-HT7 receptor;Antagonist;-0.73;0.52;0.8;0.537587;302;0,1222672065;FALSE
social avoidant behaviour;Serotonin 5-HT6 receptor;Antagonist;-6;1.32;1.9;0.539387;303;0,1226720648;FALSE
impaired work ability;Adrenergic Beta1 receptor;Antagonist;2.03;-0.18;0.24;0.541885;304;0,1230769231;FALSE
disturbance in attention;Serotonin transporter;Antagonist;0.32;0.22;0.35;0.543201;305;0,1234817814;FALSE
hypersexuality;Dopamine D3 receptor;Partial Agonist;141.94;-11.06;16.36;0.54768;306;0,1238866397;FALSE
aggression;Histamine H1 receptor;Antagonist;1.1;0.18;0.29;0.549546;307;0,1242914980;FALSE
social problem;Serotonin 5-HT2 receptor;Antagonist;0.59;-0.04;0.05;0.550293;308;0,1246963563;FALSE
loss of personal independence in daily activities;Serotonin 5-HT1 receptor;Antagonist;0.01;0.04;0.06;0.551904;309;0,1251012146;FALSE
disturbance in attention;Delta opioid receptor;Agonist;0.28;0.08;0.12;0.553866;310;0,1255060729;FALSE
verbal abuse;Serotonin transporter;Antagonist;0.73;0.16;0.25;0.555416;311;0,1259109312;FALSE
disturbance in attention;Serotonin 5-HT1 receptor;Partial Agonist;-2.27;0.52;0.85;0.556566;312;0,1263157895;FALSE
loss of employment;Mu opioid receptor;Agonist;1.42;-0.11;0.17;0.557704;313;0,1267206478;FALSE
disability;GABA A receptor;Agonist;-0.54;0.11;0.16;0.558701;314;0,1271255061;FALSE
disability;Serotonin 5-HT1 receptor;Antagonist;-1.83;0.42;0.61;0.560164;315;0,1275303644;FALSE
social anxiety disorder;Dopamine transporter;Antagonist;17.34;-2.11;3.33;0.560334;316;0,1279352227;FALSE
homicide;Mu opioid receptor;Agonist;0.86;0.28;0.45;0.561973;317;0,1283400810;FALSE
family stress;Histamine H1 receptor;Antagonist;-0.02;0.03;0.05;0.563056;318;0,1287449393;FALSE
speech disorder;Delta opioid receptor;Agonist;2.43;-0.21;0.33;0.565989;319;0,1291497976;FALSE
crime;GABA A receptor;Agonist;17.13;-1.37;2.03;0.568732;320;0,1295546559;FALSE
impaired quality of life;Histamine H1 receptor;Antagonist;0.93;-0.08;0.13;0.56986;321;0,1299595142;FALSE
disturbance in attention;Serotonin 5-HT7 receptor;Antagonist;6.72;-0.64;1.08;0.569884;322;0,1303643725;FALSE
impaired self-care;Serotonin 5-HT2 receptor;Antagonist;4.73;-0.46;0.73;0.572212;323;0,1307692308;FALSE
loss of personal independence in daily activities;Dopamine D1 receptor;Agonist;-0.53;0.16;0.25;0.576469;324;0,1311740891;FALSE
aggression;Adrenergic Alpha2 receptor;Partial Agonist;-8.96;1.85;3.01;0.581885;325;0,1315789474;FALSE
disturbance in attention;Progesterone receptor;Agonist;2.77;-0.2;0.34;0.583327;326;0,1319838057;FALSE
impaired driving ability;Serotonin 5-HT6 receptor;Antagonist;3.61;-0.43;0.7;0.583611;327;0,1323886640;FALSE
homicide;Serotonin 5-HT2 receptor;Antagonist;19.05;-2.26;3.71;0.584359;328;0,1327935223;FALSE
speech disorder;Histamine H1 receptor;Antagonist;9.24;-0.68;1.24;0.58587;329;0,1331983806;FALSE
aggression;Dopamine D1 receptor;Agonist;-2.07;0.52;0.81;0.586188;330;0,1336032389;FALSE
loss of personal independence in daily activities;Histamine H1 receptor;Antagonist;0.1;0.05;0.09;0.5924;331;0,1340080972;FALSE
social avoidant behaviour;Serotonin 5-HT1 receptor;Agonist;3.18;-0.13;0.2;0.592582;332;0,1344129555;FALSE
imprisonment;Mu opioid receptor;Agonist;0.46;0.19;0.33;0.594282;333;0,1348178138;FALSE
impaired driving ability;Muscarinic M5 receptor;Antagonist;3.04;-0.18;0.3;0.595798;334;0,1352226721;FALSE
physical assault;Serotonin transporter;Antagonist;0.22;0.28;0.52;0.597298;335;0,1356275304;FALSE
marital problem;Serotonin transporter;Antagonist;0.09;0.32;0.58;0.598927;336;0,1360323887;FALSE
stress at work;Serotonin transporter;Antagonist;2.17;-0.14;0.24;0.601702;337;0,1364372470;FALSE
loss of personal independence in daily activities;Adrenergic Alpha2 receptor;Antagonist;1.94;-0.21;0.37;0.604214;338;0,1368421053;FALSE
theft;Serotonin transporter;Antagonist;-0.38;0.22;0.4;0.606839;339;0,1372469636;FALSE
hypersexuality;Serotonin transporter;Antagonist;1.6;-0.1;0.18;0.609756;340;0,1376518219;FALSE
family stress;Serotonin 5-HT2 receptor;Inverse Agonist;-0.23;0.06;0.1;0.621396;341;0,1380566802;FALSE
impaired driving ability;Glucocorticoid receptor;Agonist;1.47;-0.07;0.13;0.623906;342;0,1384615385;FALSE
social avoidant behaviour;Serotonin 5-HT2 receptor;Antagonist;3.94;-0.19;0.37;0.625964;343;0,1388663968;FALSE
disturbance in attention;Serotonin 5-HT2 receptor;Antagonist;3.3;-0.23;0.47;0.627408;344;0,1392712551;FALSE
homicide;Serotonin 5-HT2 receptor;Inverse Agonist;10.4;-1.04;1.83;0.628078;345;0,1396761134;FALSE
loss of personal independence in daily activities;Serotonin 5-HT1 receptor;Agonist;-0.33;0.13;0.25;0.633582;346;0,1400809717;FALSE
physical assault;GABA A receptor;Agonist;7.4;-0.59;1.07;0.635377;347;0,1404858300;FALSE
theft;GABA A receptor;Agonist;9.43;-0.97;1.77;0.638087;348;0,1408906883;FALSE
disability;Serotonin 5-HT7 receptor;Antagonist;2.28;-0.18;0.36;0.639373;349;0,1412955466;FALSE
social anxiety disorder;GABA A receptor;Agonist;0.03;0.39;0.72;0.640983;350;0,1417004049;FALSE
legal problem;Dopamine transporter;Antagonist;-4.02;0.91;1.67;0.641656;351;0,1421052632;FALSE
disturbance in attention;Adrenergic Alpha1 receptor;Antagonist;-0.08;0.14;0.29;0.642412;352;0,1425101215;FALSE
gambling;Dopamine D5 receptor;Agonist;-51.79;11.53;21.74;0.648798;353;0,1429149798;FALSE
verbal abuse;Histamine H1 receptor;Antagonist;-7.43;1.79;3.76;0.649565;354;0,1433198381;FALSE
impaired work ability;Dopamine D2 receptor;Antagonist;0.86;-0.06;0.12;0.650897;355;0,1437246964;FALSE
speech disorder;Serotonin 5-HT7 receptor;Antagonist;-0.54;0.32;0.68;0.655077;356;0,1441295547;FALSE
compulsive shopping;Serotonin 5-HT1 receptor;Partial Agonist;85.18;-7.58;15.82;0.656842;357;0,1445344130;FALSE
disability;Glucocorticoid receptor;Agonist;-0.32;0.17;0.37;0.660593;358;0,1449392713;FALSE
speech disorder;Adrenergic Beta2 receptor;Agonist;5.95;-0.35;0.76;0.662111;359;0,1453441296;FALSE
speech disorder;Adrenergic Alpha2 receptor;Partial Agonist;-2.35;0.51;1.1;0.663969;360;0,1457489879;FALSE
impaired driving ability;Muscarinic M1 receptor;Antagonist;2.57;-0.12;0.25;0.664109;361;0,1461538462;FALSE
homicide;Dopamine D2 receptor;Antagonist;3.29;-0.21;0.45;0.664452;362;0,1465587045;FALSE
disturbance in attention;Kappa opioid receptor;Agonist;0.37;0.06;0.13;0.666133;363;0,1469635628;FALSE
social avoidant behaviour;Histamine H1 receptor;Antagonist;3.43;-0.16;0.37;0.669441;364;0,1473684211;FALSE
imprisonment;Dopamine D2 receptor;Antagonist;0.18;0.28;0.62;0.670248;365;0,1477732794;FALSE
disability;Delta opioid receptor;Agonist;2.56;-0.27;0.55;0.670357;366;0,1481781377;FALSE
aggression;Serotonin 5-HT1 receptor;Agonist;3.57;-0.21;0.47;0.675538;367;0,1485829960;FALSE
hypersexuality;Serotonin 5-HT2 receptor;Partial Agonist;-102.42;18.94;39.04;0.675544;368;0,1489878543;FALSE
social avoidant behaviour;Serotonin 5-HT3 receptor;Antagonist;2.35;-0.15;0.33;0.67646;369;0,1493927126;FALSE
impaired driving ability;Mu opioid receptor;Agonist;0.83;0.12;0.26;0.677426;370;0,1497975709;FALSE
gambling;Serotonin transporter;Antagonist;0.37;-0.01;0.03;0.680942;371;0,1502024291;FALSE
drug diversion;Histamine H1 receptor;Antagonist;3.6;-0.23;0.52;0.687024;372;0,1506072874;FALSE
loss of employment;Dopamine D2 receptor;Antagonist;-0.02;0.07;0.17;0.687446;373;0,1510121457;FALSE
social avoidant behaviour;Mu opioid receptor;Agonist;0.66;0.04;0.1;0.688911;374;0,1514170040;FALSE
disturbance in attention;Adrenergic Alpha2 receptor;Antagonist;-0.68;0.19;0.45;0.693334;375;0,1518218623;FALSE
disturbance in attention;Acetylcholinesterase;Antagonist;0.68;-0.05;0.1;0.695589;376;0,1522267206;FALSE
marital problem;Estrogen Alpha receptor;Agonist;-628.24;90.66;201.32;0.696595;377;0,1526315789;FALSE
loss of personal independence in daily activities;Dopamine transporter;Antagonist;1.3;-0.1;0.25;0.701337;378;0,1530364372;FALSE
aggression;Dopamine D3 receptor;Antagonist;0.41;0.32;0.82;0.705049;379;0,1534412955;FALSE
aggression;Progesterone receptor;Agonist;-0.28;0.1;0.25;0.705956;380;0,1538461538;FALSE
loss of personal independence in daily activities;Serotonin 5-HT3 receptor;Antagonist;16.33;-1.63;3.75;0.706794;381;0,1542510121;FALSE
language disorder;Histamine H1 receptor;Antagonist;-0.77;0.42;1.08;0.712242;382;0,1546558704;FALSE
aggression;Adrenergic Beta2 receptor;Antagonist;0.41;0.06;0.15;0.71396;383;0,1550607287;FALSE
disability;Adrenergic Beta2 receptor;Agonist;0.23;0.23;0.54;0.714402;384;0,1554655870;FALSE
loss of personal independence in daily activities;Dopamine D3 receptor;Partial Agonist;0.21;0.03;0.09;0.719004;385;0,1558704453;FALSE
aggression;Adrenergic Alpha1 receptor;Antagonist;3.58;-0.21;0.56;0.720269;386;0,1562753036;FALSE
speech disorder;Serotonin 5-HT2 receptor;Antagonist;4.01;-0.2;0.56;0.722502;387;0,1566801619;FALSE
social avoidant behaviour;Glucocorticoid receptor;Agonist;0.74;-0.03;0.08;0.724015;388;0,1570850202;FALSE
disability;Serotonin transporter;Antagonist;0.15;0.03;0.09;0.724736;389;0,1574898785;FALSE
compulsive shopping;Dopamine D2 receptor;Partial Agonist;82.57;-5.8;15.03;0.725377;390;0,1578947368;FALSE
impaired driving ability;Dopamine D2 receptor;Antagonist;-0.05;0.07;0.18;0.728788;391;0,1582995951;FALSE
aggression;Monoamine oxidase B;Antagonist;-3.63;1.04;2.61;0.729578;392;0,1587044534;FALSE
impaired driving ability;Muscarinic M3 receptor;Antagonist;2.23;-0.08;0.21;0.729947;393;0,1591093117;FALSE
antisocial behaviour;Mu opioid receptor;Agonist;0.74;0.04;0.09;0.731091;394;0,1595141700;FALSE
legal problem;Norepinephrine transporter;Antagonist;2.66;-0.15;0.42;0.731578;395;0,1599190283;FALSE
loss of personal independence in daily activities;Mu opioid receptor;Agonist;0.56;0.02;0.06;0.743789;396;0,1603238866;FALSE
speech disorder;Serotonin 5-HT6 receptor;Antagonist;2.2;-0.15;0.43;0.745563;397;0,1607287449;FALSE
social anxiety disorder;Histamine H1 receptor;Antagonist;-1.88;0.96;2.85;0.746042;398;0,1611336032;FALSE
impaired work ability;Serotonin 5-HT7 receptor;Antagonist;1.22;-0.1;0.27;0.747452;399;0,1615384615;FALSE
impaired self-care;Mu opioid receptor;Agonist;0.47;0.1;0.26;0.748166;400;0,1619433198;FALSE
loss of employment;Histamine H1 receptor;Antagonist;4.8;-0.38;1.16;0.753752;401;0,1623481781;FALSE
impaired driving ability;Muscarinic M4 receptor;Antagonist;2.25;-0.07;0.22;0.754606;402;0,1627530364;FALSE
disability;Dopamine transporter;Antagonist;-0.08;0.08;0.25;0.755462;403;0,1631578947;FALSE
speech disorder;Dopamine D3 receptor;Antagonist;-0.44;0.44;1.38;0.756156;404;0,1635627530;FALSE
social problem;Delta opioid receptor;Agonist;-0.18;0.08;0.24;0.757267;405;0,1639676113;FALSE
disability;Adrenergic Beta2 receptor;Antagonist;1.39;-0.05;0.14;0.764305;406;0,1643724696;FALSE
disturbance in attention;Glucocorticoid receptor;Agonist;0.5;0.03;0.09;0.767664;407;0,1647773279;FALSE
speech disorder;Serotonin 5-HT1 receptor;Partial Agonist;0.47;0.13;0.42;0.768259;408;0,1651821862;FALSE
aggression;Kappa opioid receptor;Agonist;2.1;-0.09;0.27;0.770207;409;0,1655870445;FALSE
impaired work ability;Serotonin 5-HT2 receptor;Antagonist;0.34;0.02;0.07;0.773398;410;0,1659919028;FALSE
job dissatisfaction;Histamine H1 receptor;Antagonist;0.08;0.1;0.3;0.773639;411;0,1663967611;FALSE
loss of personal independence in daily activities;Glucocorticoid receptor;Agonist;0.42;0.45;1.53;0.775636;412;0,1668016194;FALSE
aggression;Serotonin 5-HT2 receptor;Antagonist;2.11;-0.06;0.19;0.778978;413;0,1672064777;FALSE
compulsive shopping;Dopamine D1 receptor;Agonist;39.61;-3.83;12.41;0.786719;414;0,1676113360;FALSE
imprisonment;Serotonin 5-HT2 receptor;Antagonist;-1.5;0.6;2.03;0.786738;415;0,1680161943;FALSE
loss of employment;GABA A receptor;Agonist;1.65;-0.12;0.4;0.787204;416;0,1684210526;FALSE
compulsive shopping;Dopamine D5 receptor;Agonist;30.32;-1.62;5.48;0.795686;417;0,1688259109;FALSE
disability;Serotonin 5-HT2 receptor;Inverse Agonist;2.45;-0.21;0.77;0.797666;418;0,1692307692;FALSE
physical assault;Serotonin 5-HT1 receptor;Antagonist;-4.05;1.08;3.74;0.799871;419;0,1696356275;FALSE
family stress;Serotonin transporter;Antagonist;0.51;-0.01;0.05;0.800006;420;0,1700404858;FALSE
imprisonment;Histamine H1 receptor;Antagonist;4.79;-0.18;0.68;0.801568;421;0,1704453441;FALSE
social problem;Histamine H1 receptor;Antagonist;1.25;-0.07;0.28;0.806054;422;0,1708502024;FALSE
gambling;Dopamine D2 receptor;Partial Agonist;-17.7;5.5;19.84;0.807766;423;0,1712550607;FALSE
disturbance in attention;Histamine H1 receptor;Antagonist;1.45;-0.03;0.14;0.808056;424;0,1716599190;FALSE
loss of personal independence in daily activities;Kappa opioid receptor;Agonist;0.57;0.05;0.17;0.811916;425;0,1720647773;FALSE
disturbance in attention;Serotonin 5-HT6 receptor;Inverse Agonist;2.75;-0.24;0.97;0.812706;426;0,1724696356;FALSE
impaired work ability;Serotonin 5-HT6 receptor;Antagonist;1.77;-0.14;0.54;0.813511;427;0,1728744939;FALSE
impaired self-care;Serotonin transporter;Antagonist;1.63;-0.07;0.27;0.815346;428;0,1732793522;FALSE
social fear;Serotonin transporter;Antagonist;5.95;-0.33;1.3;0.8157;429;0,1736842105;FALSE
loss of personal independence in daily activities;Adrenergic Alpha2 receptor;Partial Agonist;-2.96;0.58;2.28;0.815899;430;0,1740890688;FALSE
social avoidant behaviour;Delta opioid receptor;Agonist;0.13;0.09;0.35;0.81775;431;0,1744939271;FALSE
poor personal hygiene;Dopamine D2 receptor;Antagonist;-0.26;0.75;3.21;0.824163;432;0,1748987854;FALSE
aggression;Mu opioid receptor;Agonist;1.5;-0.02;0.11;0.830609;433;0,1753036437;FALSE
hypersexuality;Dopamine D1 receptor;Agonist;-22.57;10.79;47.46;0.841332;434;0,1757085020;FALSE
speech disorder;Mu opioid receptor;Agonist;0.77;0.04;0.21;0.853258;435;0,1761133603;FALSE
disturbance in attention;Dopamine D3 receptor;Agonist;2.12;-0.15;0.71;0.854312;436;0,1765182186;FALSE
loss of employment;Serotonin 5-HT2 receptor;Antagonist;0.6;0.04;0.22;0.855275;437;0,1769230769;FALSE
imprisonment;Delta opioid receptor;Agonist;1;0.07;0.34;0.859092;438;0,1773279352;FALSE
speech disorder;Dopamine D3 receptor;Agonist;-0.16;0.09;0.43;0.860329;439;0,1777327935;FALSE
loss of personal independence in daily activities;Adrenergic Beta2 receptor;Antagonist;1.1;0.02;0.13;0.861575;440;0,1781376518;FALSE
legal problem;Serotonin transporter;Antagonist;4.18;-0.15;0.85;0.863026;441;0,1785425101;FALSE
job dissatisfaction;Norepinephrine transporter;Antagonist;2.3;-0.08;0.43;0.867031;442;0,1789473684;FALSE
social problem;Serotonin transporter;Antagonist;0.6;-0.02;0.1;0.871026;443;0,1793522267;FALSE
social problem;Dopamine D2 receptor;Antagonist;0.6;-0.02;0.13;0.872013;444;0,1797570850;FALSE
disability;Dopamine D4 receptor;Antagonist;0.05;0.06;0.33;0.872172;445;0,1801619433;FALSE
disturbance in attention;Serotonin 5-HT1 receptor;Antagonist;0.35;0.13;0.77;0.873773;446;0,1805668016;FALSE
disturbance in attention;Dopamine D3 receptor;Antagonist;3.69;-0.22;1.36;0.874733;447;0,1809716599;FALSE
loss of personal independence in daily activities;Dopamine D2 receptor;Antagonist;0.31;0.02;0.15;0.880174;448;0,1813765182;FALSE
hypersexuality;Dopamine D5 receptor;Agonist;11.55;4.91;28.89;0.880738;449;0,1817813765;FALSE
speech disorder;Muscarinic M2 receptor;Antagonist;1.61;0.03;0.19;0.885411;450;0,1821862348;FALSE
impaired quality of life;Serotonin transporter;Antagonist;0.41;-0.02;0.15;0.885999;451;0,1825910931;FALSE
aggression;Serotonin transporter;Antagonist;2.98;-0.07;0.52;0.89037;452;0,1829959514;FALSE
imprisonment;Serotonin 5-HT2 receptor;Inverse Agonist;0.09;0.33;2.14;0.891232;453;0,1834008097;FALSE
speech disorder;Kappa opioid receptor;Agonist;0.74;0.06;0.37;0.892047;454;0,1838056680;FALSE
loss of personal independence in daily activities;Serotonin 5-HT6 receptor;Antagonist;0.26;0.02;0.13;0.897146;455;0,1842105263;FALSE
antisocial behaviour;Dopamine D2 receptor;Antagonist;1.19;0.27;1.96;0.897333;456;0,1846153846;FALSE
homicide;Norepinephrine transporter;Antagonist;3.74;-0.09;0.69;0.898987;457;0,1850202429;FALSE
hypersexuality;Histamine H1 receptor;Antagonist;1.51;0.13;1.02;0.903521;458;0,1854251012;FALSE
loss of personal independence in daily activities;Dopamine D3 receptor;Agonist;0.27;0.01;0.1;0.904396;459;0,1858299595;FALSE
physical assault;Dopamine transporter;Antagonist;0.73;0.08;0.56;0.904826;460;0,1862348178;FALSE
impaired work ability;GABA A receptor;Agonist;0.33;0.04;0.27;0.904909;461;0,1866396761;FALSE
divorced;Serotonin transporter;Antagonist;2.01;-0.06;0.45;0.905692;462;0,1870445344;FALSE
language disorder;Serotonin 5-HT2 receptor;Inverse Agonist;-11.3;1.76;13.21;0.906015;463;0,1874493927;FALSE
social problem;GABA A receptor;Agonist;0.82;-0.04;0.31;0.908781;464;0,1878542510;FALSE
disturbance in attention;Norepinephrine transporter;Antagonist;1.69;0.02;0.22;0.9121;465;0,1882591093;FALSE
loss of personal independence in daily activities;Serotonin 5-HT1 receptor;Partial Agonist;0.43;0.02;0.16;0.912789;466;0,1886639676;FALSE
impaired self-care;Serotonin 5-HT7 receptor;Antagonist;4.07;-0.11;0.88;0.912884;467;0,1890688259;FALSE
family stress;Mu opioid receptor;Agonist;0.36;-0.01;0.06;0.916453;468;0,1894736842;FALSE
impaired driving ability;Serotonin 5-HT7 receptor;Antagonist;1.21;-0.05;0.42;0.918874;469;0,1898785425;FALSE
imprisonment;Dopamine transporter;Antagonist;1.88;-0.08;0.74;0.919797;470;0,1902834008;FALSE
aggression;Adrenergic Beta2 receptor;Agonist;0.44;-0.01;0.08;0.924173;471;0,1906882591;FALSE
loss of personal independence in daily activities;GABA A receptor;Agonist;0.2;0.02;0.21;0.924965;472;0,1910931174;FALSE
disturbance in attention;Serotonin 5-HT6 receptor;Antagonist;1.31;0.16;1.77;0.928555;473;0,1914979757;FALSE
impaired driving ability;Serotonin 5-HT2 receptor;Antagonist;0.72;0.01;0.14;0.928772;474;0,1919028340;FALSE
aggression;GABA A receptor;Agonist;1.66;-0.03;0.35;0.934508;475;0,1923076923;FALSE
disturbance in attention;Adrenergic Beta2 receptor;Antagonist;1.17;0.01;0.18;0.936971;476;0,1927125506;FALSE
antisocial behaviour;Norepinephrine transporter;Antagonist;2.21;0.02;0.23;0.937659;477;0,1931174089;FALSE
social anxiety disorder;Serotonin 5-HT2 receptor;Antagonist;13.3;-0.6;7.33;0.938555;478;0,1935222672;FALSE
aggression;Adrenergic Alpha2 receptor;Antagonist;4.28;-0.22;2.72;0.938816;479;0,1939271255;FALSE
physical assault;Mu opioid receptor;Agonist;1.75;-0.04;0.51;0.939437;480;0,1943319838;FALSE
impaired driving ability;Adrenergic Beta2 receptor;Antagonist;1;0.01;0.15;0.942027;481;0,1947368421;FALSE
antisocial behaviour;Serotonin transporter;Antagonist;2.21;0.03;0.4;0.947553;482;0,1951417004;FALSE
physical assault;Delta opioid receptor;Agonist;0.73;0.03;0.38;0.950224;483;0,1955465587;FALSE
disturbance in attention;Dopamine D2 receptor;Antagonist;1.13;0.03;0.55;0.952259;484;0,1959514170;FALSE
impaired driving ability;Serotonin 5-HT1 receptor;Partial Agonist;1.51;0.05;0.8;0.956104;485;0,1963562753;FALSE
language disorder;Serotonin transporter;Antagonist;4.39;-0.12;2.32;0.960315;486;0,1967611336;FALSE
