AE;Target;Action;Intercept;Slope;SE;p_value;Pearson;Rank;BH20;Sign20
speech disorder;Serotonin 5-HT3 receptor;Antagonist;-3.69;0.93;0.79;0.293004;0.47;223;0,0752107926;FALSE
disability;Muscarinic M5 receptor;Antagonist;-4.4;0.73;0.61;0.293537;0.52;224;0,0755480607;FALSE
social anxiety disorder;Serotonin transporter;Antagonist;622.93;-68.79;62.42;0.294002;-0.32;225;0,0758853288;FALSE
physical assault;Serotonin 5-HT2 receptor;Antagonist;-2.27;0.69;0.61;0.295143;0.39;226;0,0762225970;FALSE
speech disorder;Histamine H1 receptor;Antagonist;8.26;-0.66;0.63;0.295821;-0.18;227;0,0765598651;FALSE
aggression;Serotonin 5-HT1 receptor;Agonist;4.85;-0.42;0.35;0.297014;-0.51;228;0,0768971332;FALSE
impaired quality of life;Glucocorticoid receptor;Agonist;3.96;-0.33;0.3;0.297192;-0.39;229;0,0772344013;FALSE
loss of employment;Serotonin 5-HT1 receptor;Agonist;-1.72;0.38;0.27;0.298105;0.7;230;0,0775716695;FALSE
disturbance in attention;Serotonin 5-HT1 receptor;Agonist;-0.6;0.21;0.18;0.300168;0.51;231;0,0779089376;FALSE
disability;Dopamine D3 receptor;Antagonist;-12.15;1.68;1.42;0.301976;0.51;232;0,0782462057;FALSE
physical assault;Serotonin transporter;Antagonist;-1.43;0.47;0.44;0.30225;0.3;233;0,0785834739;FALSE
loss of personal independence in daily activities;Serotonin 5-HT2 receptor;Partial Agonist;2.49;-0.3;0.22;0.306119;-0.69;234;0,0789207420;FALSE
compulsive shopping;Adrenergic Alpha2 receptor;Antagonist;291.33;-37.06;27.24;0.306788;-0.69;235;0,0792580101;FALSE
poor personal hygiene;Serotonin transporter;Antagonist;5.98;-0.54;0.46;0.308117;-0.5;236;0,0795952782;FALSE
speech disorder;Dopamine D1 receptor;Antagonist;39.26;-4.98;4.48;0.308744;-0.41;237;0,0799325464;FALSE
marital problem;Dopamine transporter;Antagonist;13.98;-1.94;1.46;0.314404;-0.69;238;0,0802698145;FALSE
impulse-control disorder;Norepinephrine transporter;Antagonist;-1.7;0.54;0.51;0.315325;0.33;239;0,0806070826;FALSE
aggression;Serotonin 5-HT1 receptor;Partial Agonist;-0.66;0.24;0.22;0.315403;0.3;240;0,0809443508;FALSE
loss of personal independence in daily activities;Adrenergic Beta1 receptor;Antagonist;0.04;0.17;0.15;0.316224;0.5;241;0,0812816189;FALSE
social avoidant behaviour;Serotonin 5-HT2 receptor;Inverse Agonist;10.65;-1.04;0.91;0.318137;-0.5;242;0,0816188870;FALSE
impaired work ability;Adrenergic Beta2 receptor;Antagonist;1.56;-0.11;0.09;0.319384;-0.57;243;0,0819561551;FALSE
impaired driving ability;Dopamine transporter;Antagonist;4.57;-0.56;0.53;0.321014;-0.37;244;0,0822934233;FALSE
physical assault;Serotonin 5-HT2 receptor;Inverse Agonist;8.05;-0.74;0.65;0.321274;-0.49;245;0,0826306914;FALSE
impaired driving ability;Serotonin 5-HT1 receptor;Agonist;-4.82;0.86;0.73;0.321916;0.56;246;0,0829679595;FALSE
educational problem;Dopamine D2 receptor;Antagonist;-1.89;0.32;0.25;0.327133;0.67;247;0,0833052277;FALSE
drug diversion;Mu opioid receptor;Agonist;-15.47;6.17;5.98;0.329326;0.33;248;0,0836424958;FALSE
speech disorder;Dopamine D5 receptor;Antagonist;6.24;-0.61;0.55;0.329997;-0.48;249;0,0839797639;FALSE
impulsive behaviour;Serotonin 5-HT1 receptor;Antagonist;-386.42;65.96;56.88;0.330103;0.56;250;0,0843170320;FALSE
job dissatisfaction;Histamine H1 receptor;Antagonist;-2.57;0.41;0.33;0.332562;0.67;251;0,0846543002;FALSE
social avoidant behaviour;Serotonin 5-HT6 receptor;Inverse Agonist;47.09;-5.67;4.49;0.333928;-0.67;252;0,0849915683;FALSE
disability;Serotonin 5-HT2 receptor;Antagonist;-0.5;0.15;0.15;0.333951;0.32;253;0,0853288364;FALSE
homicide;Histamine H1 receptor;Antagonist;-2.06;0.59;0.58;0.334086;0.31;254;0,0856661046;FALSE
language disorder;Dopamine D3 receptor;Antagonist;-36.85;6.42;6.07;0.338344;0.43;255;0,0860033727;FALSE
impulsive behaviour;GABA A receptor;Agonist;-1.84;0.39;0.35;0.3406;0.55;256;0,0863406408;FALSE
social avoidant behaviour;Norepinephrine transporter;Antagonist;2.93;-0.2;0.21;0.341009;-0.23;257;0,0866779089;FALSE
verbal abuse;Dopamine transporter;Antagonist;4.78;-0.47;0.38;0.34337;-0.66;258;0,0870151771;FALSE
speech disorder;Serotonin transporter;Antagonist;3.24;-0.25;0.26;0.344531;-0.18;259;0,0873524452;FALSE
impaired driving ability;Progesterone receptor;Agonist;-1.07;0.26;0.24;0.346596;0.47;260;0,0876897133;FALSE
social anxiety disorder;Serotonin 5-HT1 receptor;Partial Agonist;42.72;-5.23;4.29;0.346812;-0.65;261;0,0880269815;FALSE
physical assault;Dopamine D2 receptor;Antagonist;-0.86;0.4;0.4;0.348384;0.33;262;0,0883642496;FALSE
marital problem;Serotonin transporter;Antagonist;-2.83;0.63;0.63;0.353684;0.38;263;0,0887015177;FALSE
disturbance in attention;Serotonin 5-HT2 receptor;Inverse Agonist;7.57;-0.77;0.77;0.353838;-0.35;264;0,0890387858;FALSE
gambling;Dopamine D2 receptor;Antagonist;-1.12;0.19;0.18;0.353901;0.53;265;0,0893760540;FALSE
theft;Serotonin transporter;Antagonist;-1.68;0.36;0.36;0.355773;0.41;266;0,0897133221;FALSE
impaired work ability;Serotonin 5-HT1 receptor;Agonist;-2.73;0.52;0.48;0.358282;0.53;267;0,0900505902;FALSE
impulse-control disorder;Dopamine D2 receptor;Partial Agonist;128.11;-13.2;11.17;0.358922;-0.64;268;0,0903878583;FALSE
impaired self-care;GABA A receptor;Agonist;-2.05;0.41;0.35;0.359915;0.64;269;0,0907251265;FALSE
marital problem;Histamine H1 receptor;Antagonist;12.19;-1.37;1.17;0.360753;-0.64;270;0,0910623946;FALSE
impulse-control disorder;GABA A receptor;Agonist;-0.15;0.12;0.1;0.361631;0.64;271;0,0913996627;FALSE
gambling disorder;Dopamine D2 receptor;Antagonist;-1.38;0.24;0.22;0.364122;0.52;272;0,0917369309;FALSE
speech disorder;Androgen Receptor;Antagonist;16.95;-1.91;1.64;0.364605;-0.64;273;0,0920741990;FALSE
impaired work ability;Muscarinic M3 receptor;Antagonist;-0.47;0.16;0.16;0.36596;0.37;274;0,0924114671;FALSE
disability;Adrenergic Alpha2 receptor;Antagonist;3.43;-0.4;0.35;0.36794;-0.63;275;0,0927487352;FALSE
disability;Serotonin transporter;Antagonist;-0.22;0.07;0.08;0.368904;0.25;276;0,0930860034;FALSE
loss of personal independence in daily activities;Histamine H1 receptor;Antagonist;-0.18;0.08;0.09;0.374188;0.2;277;0,0934232715;FALSE
impaired work ability;Muscarinic M1 receptor;Antagonist;-0.9;0.2;0.21;0.375095;0.34;278;0,0937605396;FALSE
aggression;Dopamine D5 receptor;Agonist;0.08;0.08;0.07;0.376376;0.62;279;0,0940978078;FALSE
social fear;Norepinephrine transporter;Antagonist;7.55;-0.8;0.77;0.376646;-0.51;280;0,0944350759;FALSE
imprisonment;Dopamine D3 receptor;Antagonist;12.18;-1.09;0.98;0.379681;-0.62;281;0,0947723440;FALSE
poor personal hygiene;Histamine H1 receptor;Antagonist;-3.03;0.79;0.82;0.380396;0.4;282;0,0951096121;FALSE
physical assault;Serotonin 5-HT7 receptor;Inverse Agonist;14.24;-1.5;1.47;0.381588;-0.51;283;0,0954468803;FALSE
loss of personal independence in daily activities;Serotonin 5-HT7 receptor;Inverse Agonist;-1.8;0.29;0.29;0.381799;0.44;284;0,0957841484;FALSE
impulse-control disorder;Adrenergic Alpha2 receptor;Antagonist;361.45;-45.43;40.97;0.382978;-0.62;285;0,0961214165;FALSE
compulsive shopping;Norepinephrine transporter;Antagonist;-0.37;0.14;0.14;0.386563;0.44;286;0,0964586847;FALSE
loss of personal independence in daily activities;Dopamine D4 receptor;Antagonist;0.7;-0.06;0.06;0.387676;-0.44;287;0,0967959528;FALSE
gambling;Dopamine D3 receptor;Partial Agonist;-55.82;10.23;10.17;0.388638;0.5;288;0,0971332209;FALSE
loss of personal independence in daily activities;Dopamine D2 receptor;Partial Agonist;-0.54;0.12;0.12;0.392936;0.43;289;0,0974704890;FALSE
hypersexuality;Dopamine D3 receptor;Partial Agonist;97.61;-7.36;7.39;0.393101;-0.5;290;0,0978077572;FALSE
family stress;Dopamine transporter;Antagonist;2.57;-0.34;0.32;0.393351;-0.61;291;0,0981450253;FALSE
social avoidant behaviour;Serotonin 5-HT1 receptor;Partial Agonist;-4;0.73;0.68;0.395353;0.6;292;0,0984822934;FALSE
aggression;Dopamine D5 receptor;Antagonist;4.72;-0.33;0.35;0.395648;-0.43;293;0,0988195616;FALSE
speech disorder;Progesterone receptor;Agonist;3.97;-0.31;0.32;0.397197;-0.43;294;0,0991568297;FALSE
crime;Dopamine D2 receptor;Antagonist;-5.89;1.12;1.05;0.399816;0.6;295;0,0994940978;FALSE
impaired work ability;Progesterone receptor;Agonist;-0.21;0.25;0.27;0.40367;0.42;296;0,0998313659;FALSE
gambling;GABA A receptor;Agonist;-0.5;0.09;0.08;0.403778;0.6;297;0,1001686341;FALSE
theft;Norepinephrine transporter;Antagonist;2.3;-0.19;0.2;0.404822;-0.38;298;0,1005059022;FALSE
loss of personal independence in daily activities;Dopamine D2 receptor;Agonist;0.02;0.03;0.04;0.405106;0.42;299;0,1008431703;FALSE
loss of employment;Mu opioid receptor;Agonist;2.07;-0.18;0.2;0.406002;-0.34;300;0,1011804384;FALSE
disability;Muscarinic M2 receptor;Antagonist;-2.31;0.46;0.51;0.407802;0.37;301;0,1015177066;FALSE
impulsive behaviour;Serotonin 5-HT7 receptor;Antagonist;-2.42;0.69;0.72;0.410457;0.48;302;0,1018549747;FALSE
crime;Mu opioid receptor;Agonist;-146.11;21.19;22.34;0.412884;0.48;303;0,1021922428;FALSE
impulse-control disorder;Serotonin transporter;Antagonist;5.07;-0.41;0.48;0.413192;-0.24;304;0,1025295110;FALSE
disability;Muscarinic M4 receptor;Antagonist;-2.32;0.45;0.5;0.414075;0.37;305;0,1028667791;FALSE
aggression;Serotonin 5-HT2 receptor;Partial Agonist;4.72;-0.51;0.5;0.416382;-0.58;306;0,1032040472;FALSE
physical assault;Dopamine transporter;Antagonist;-0.52;0.25;0.26;0.4171;0.48;307;0,1035413153;FALSE
hypersexuality;Serotonin 5-HT2 receptor;Antagonist;47.66;-4.94;5.59;0.417642;-0.37;308;0,1038785835;FALSE
family stress;Norepinephrine transporter;Antagonist;0.58;-0.04;0.04;0.418799;-0.33;309;0,1042158516;FALSE
hypersexuality;Serotonin transporter;Antagonist;1.92;-0.14;0.16;0.421274;-0.31;310;0,1045531197;FALSE
physical assault;Serotonin 5-HT6 receptor;Antagonist;-3.95;0.82;0.82;0.422309;0.58;311;0,1048903879;FALSE
impaired self-care;Histamine H1 receptor;Antagonist;-2.89;0.69;0.8;0.426413;0.36;312;0,1052276560;FALSE
aggression;Serotonin 5-HT3 receptor;Antagonist;3.1;-0.33;0.36;0.426946;-0.47;313;0,1055649241;FALSE
impaired work ability;Adrenergic Beta1 receptor;Antagonist;2.37;-0.22;0.22;0.428586;-0.57;314;0,1059021922;FALSE
loss of personal independence in daily activities;Norepinephrine transporter;Antagonist;0.95;-0.06;0.07;0.431034;-0.19;315;0,1062394604;FALSE
language disorder;Dopamine transporter;Antagonist;15.37;-2.18;2.23;0.431764;-0.57;316;0,1065767285;FALSE
language disorder;Norepinephrine transporter;Antagonist;-5.59;1.4;1.72;0.439847;0.28;317;0,1069139966;FALSE
aggression;Serotonin 5-HT7 receptor;Antagonist;-0.82;0.51;0.62;0.440576;0.3;318;0,1072512648;FALSE
disturbance in attention;Serotonin 5-HT3 receptor;Antagonist;-3.25;0.74;0.86;0.440961;0.39;319;0,1075885329;FALSE
family stress;Serotonin 5-HT2 receptor;Inverse Agonist;-0.94;0.14;0.14;0.442385;0.56;320;0,1079258010;FALSE
job dissatisfaction;Dopamine transporter;Antagonist;5.43;-0.56;0.59;0.44543;-0.55;321;0,1082630691;FALSE
drug diversion;Kappa opioid receptor;Agonist;-73.97;15.43;16.41;0.446341;0.55;322;0,1086003373;FALSE
physical assault;Serotonin 5-HT7 receptor;Antagonist;-3.83;0.93;1.07;0.446841;0.45;323;0,1089376054;FALSE
divorced;Norepinephrine transporter;Antagonist;-0.46;0.21;0.23;0.447488;0.55;324;0,1092748735;FALSE
impulse-control disorder;Dopamine D1 receptor;Agonist;66.22;-7.98;8.52;0.448149;-0.55;325;0,1096121417;FALSE
impaired work ability;Dopamine D3 receptor;Antagonist;-0.35;0.07;0.07;0.449785;0.55;326;0,1099494098;FALSE
compulsive shopping;Dopamine D5 receptor;Agonist;31.86;-2.66;2.86;0.449924;-0.55;327;0,1102866779;FALSE
language disorder;Dopamine D2 receptor;Antagonist;-21.56;4.21;5.3;0.453036;0.29;328;0,1106239460;FALSE
loss of personal independence in daily activities;Mu opioid receptor;Agonist;0.93;-0.03;0.04;0.456573;-0.25;329;0,1109612142;FALSE
aggression;Adrenergic Beta2 receptor;Partial Agonist;6.47;-0.98;1.07;0.456792;-0.54;330;0,1112984823;FALSE
social anxiety disorder;Dopamine transporter;Antagonist;17.2;-2.13;2.64;0.457513;-0.34;331;0,1116357504;FALSE
aggression;Serotonin 5-HT6 receptor;Antagonist;-2.84;0.78;1;0.460887;0.28;332;0,1119730185;FALSE
disturbance in attention;Progesterone receptor;Agonist;4.39;-0.39;0.48;0.461107;-0.34;333;0,1123102867;FALSE
social problem;Norepinephrine transporter;Antagonist;0.69;-0.04;0.05;0.462901;-0.3;334;0,1126475548;FALSE
loss of personal independence in daily activities;Serotonin 5-HT1 receptor;Partial Agonist;-0.17;0.09;0.12;0.464488;0.21;335;0,1129848229;FALSE
homicide;Serotonin transporter;Antagonist;-0.73;0.6;0.79;0.465759;0.2;336;0,1133220911;FALSE
drug diversion;Dopamine transporter;Antagonist;-1.13;0.48;0.6;0.468299;0.37;337;0,1136593592;FALSE
disability;Dopamine D2 receptor;Antagonist;-3.62;0.57;0.76;0.4693;0.24;338;0,1139966273;FALSE
imprisonment;Mu opioid receptor;Agonist;-0.14;0.23;0.28;0.469324;0.37;339;0,1143338954;FALSE
impaired driving ability;Serotonin transporter;Antagonist;1.53;-0.08;0.11;0.475035;-0.17;340;0,1146711636;FALSE
gambling disorder;Serotonin 5-HT1 receptor;Partial Agonist;-19.2;7.9;9.74;0.476292;0.42;341;0,1150084317;FALSE
social avoidant behaviour;Progesterone receptor;Agonist;-3.49;0.59;0.76;0.476762;0.37;342;0,1153456998;FALSE
impaired self-care;Dopamine D2 receptor;Antagonist;-15.64;2.88;3.83;0.480763;0.29;343;0,1156829680;FALSE
aggression;Dopamine D2 receptor;Partial Agonist;2.62;-0.17;0.22;0.481865;-0.36;344;0,1160202361;FALSE
disturbance in attention;Mu opioid receptor;Agonist;1.25;-0.06;0.08;0.490007;-0.22;345;0,1163575042;FALSE
social avoidant behaviour;Serotonin transporter;Antagonist;1.07;0.07;0.1;0.490575;0.16;346;0,1166947723;FALSE
aggression;Adrenergic Alpha2 receptor;Partial Agonist;-12.48;2.32;2.99;0.494605;0.41;347;0,1170320405;FALSE
speech disorder;Adrenergic Alpha1 receptor;Antagonist;-2.32;0.6;0.84;0.495507;0.24;348;0,1173693086;FALSE
educational problem;Serotonin transporter;Antagonist;8.52;-0.83;1.16;0.495731;-0.26;349;0,1177065767;FALSE
disability;Serotonin 5-HT1 receptor;Antagonist;-1.87;0.41;0.5;0.497676;0.5;350;0,1180438449;FALSE
aggression;Dopamine D2 receptor;Agonist;2.15;-0.18;0.24;0.500174;-0.35;351;0,1183811130;FALSE
impaired driving ability;Dopamine D3 receptor;Antagonist;-0.43;0.08;0.1;0.500869;0.5;352;0,1187183811;FALSE
legal problem;Norepinephrine transporter;Antagonist;3.1;-0.23;0.33;0.503352;-0.26;353;0,1190556492;FALSE
sexual abuse;Dopamine D2 receptor;Antagonist;5.18;-0.43;0.54;0.505537;-0.49;354;0,1193929174;FALSE
impaired work ability;Glucocorticoid receptor;Agonist;-1.6;0.51;0.75;0.506661;0.19;355;0,1197301855;FALSE
impaired driving ability;Norepinephrine transporter;Antagonist;1.51;-0.09;0.13;0.507578;-0.17;356;0,1200674536;FALSE
homicide;GABA A receptor;Agonist;19.85;-1.77;2.37;0.509399;-0.4;357;0,1204047218;FALSE
unemployment;Histamine H1 receptor;Antagonist;13.22;-1.31;1.65;0.510595;-0.49;358;0,1207419899;FALSE
impaired work ability;Serotonin 5-HT3 receptor;Antagonist;-0.54;0.22;0.3;0.513295;0.39;359;0,1210792580;FALSE
social avoidant behaviour;GABA A receptor;Agonist;-3.24;0.61;0.78;0.516608;0.48;360;0,1214165261;FALSE
homicide;Norepinephrine transporter;Antagonist;5.06;-0.37;0.55;0.517854;-0.21;361;0,1217537943;FALSE
antisocial behaviour;Serotonin transporter;Antagonist;0.31;0.25;0.37;0.518283;0.21;362;0,1220910624;FALSE
speech disorder;Dopamine D3 receptor;Agonist;7.79;-0.86;1.18;0.518623;-0.39;363;0,1224283305;FALSE
social problem;Mu opioid receptor;Agonist;0.03;0.04;0.05;0.52374;0.48;364;0,1227655987;FALSE
disturbance in attention;Dopamine D2 receptor;Agonist;-0.26;0.12;0.17;0.523864;0.38;365;0,1231028668;FALSE
disturbance in attention;Serotonin 5-HT1 receptor;Partial Agonist;-2.13;0.49;0.75;0.527863;0.19;366;0,1234401349;FALSE
loss of employment;Serotonin 5-HT2 receptor;Inverse Agonist;-1.69;0.25;0.33;0.528972;0.47;367;0,1237774030;FALSE
impaired self-care;Dopamine D3 receptor;Antagonist;-26.24;4.34;5.75;0.529695;0.47;368;0,1241146712;FALSE
impulse-control disorder;Dopamine D2 receptor;Agonist;5.55;2.09;3.04;0.529907;0.32;369;0,1244519393;FALSE
aggression;Adrenergic Beta1 receptor;Antagonist;1.73;-0.14;0.2;0.531945;-0.38;370;0,1247892074;FALSE
marital problem;GABA A receptor;Agonist;-0.02;0.14;0.19;0.532543;0.47;371;0,1251264755;FALSE
family stress;Mu opioid receptor;Agonist;0.4;-0.01;0.02;0.535001;-0.46;372;0,1254637437;FALSE
speech disorder;Dopamine D4 receptor;Antagonist;9.67;-0.87;1.34;0.538507;-0.24;373;0,1258010118;FALSE
speech disorder;Muscarinic M1 receptor;Antagonist;0.26;0.17;0.28;0.539405;0.17;374;0,1261382799;FALSE
disability;Histamine H1 receptor;Antagonist;2.26;-0.17;0.27;0.542984;-0.15;375;0,1264755481;FALSE
loss of personal independence in daily activities;Serotonin 5-HT1 receptor;Agonist;-0.51;0.16;0.24;0.544236;0.37;376;0,1268128162;FALSE
compulsive shopping;Dopamine D1 receptor;Agonist;44.13;-5.24;7.25;0.545046;-0.45;377;0,1271500843;FALSE
impaired driving ability;Mu opioid receptor;Agonist;0.6;0.1;0.15;0.548057;0.25;378;0,1274873524;FALSE
loss of employment;Glucocorticoid receptor;Agonist;-0.15;0.11;0.15;0.553412;0.45;379;0,1278246206;FALSE
disturbance in attention;Serotonin transporter;Antagonist;0.59;0.17;0.28;0.555062;0.11;380;0,1281618887;FALSE
gambling;Dopamine D5 receptor;Agonist;-54.03;12.24;17.49;0.556383;0.44;381;0,1284991568;FALSE
social avoidant behaviour;Serotonin 5-HT7 receptor;Antagonist;5.87;-0.43;0.64;0.556407;-0.36;382;0,1288364250;FALSE
speech disorder;Serotonin 5-HT2 receptor;Antagonist;4.37;-0.28;0.48;0.55765;-0.13;383;0,1291736931;FALSE
compulsive shopping;Dopamine D2 receptor;Agonist;33.7;-1.94;2.97;0.56066;-0.35;384;0,1295109612;FALSE
impaired self-care;Serotonin 5-HT2 receptor;Antagonist;4.88;-0.5;0.77;0.56197;-0.35;385;0,1298482293;FALSE
theft;Dopamine transporter;Antagonist;-1.66;0.42;0.62;0.566083;0.43;386;0,1301854975;FALSE
gambling disorder;Dopamine D5 receptor;Agonist;-57.73;13.1;19.29;0.567128;0.43;387;0,1305227656;FALSE
impaired driving ability;Serotonin 5-HT6 receptor;Antagonist;4;-0.48;0.75;0.570216;-0.34;388;0,1308600337;FALSE
loss of personal independence in daily activities;Delta opioid receptor;Agonist;0.51;0.02;0.04;0.576868;0.34;389;0,1311973019;FALSE
disability;Progesterone receptor;Agonist;3.98;-0.32;0.53;0.580796;-0.29;390;0,1315345700;FALSE
impaired quality of life;Histamine H1 receptor;Antagonist;1.11;-0.1;0.17;0.583859;-0.25;391;0,1318718381;FALSE
loss of employment;GABA A receptor;Agonist;3.15;-0.31;0.49;0.585822;-0.41;392;0,1322091062;FALSE
loss of employment;Delta opioid receptor;Agonist;0.77;-0.07;0.1;0.58774;-0.41;393;0,1325463744;FALSE
drug diversion;Delta opioid receptor;Agonist;-23.74;8.75;14.54;0.589701;0.33;394;0,1328836425;FALSE
disability;Serotonin 5-HT7 receptor;Antagonist;2.39;-0.23;0.38;0.591402;-0.33;395;0,1332209106;FALSE
loss of personal independence in daily activities;Dopamine D3 receptor;Agonist;0.97;-0.09;0.14;0.595788;-0.4;396;0,1335581788;FALSE
aggression;Mu opioid receptor;Agonist;1.63;-0.06;0.11;0.604155;-0.17;397;0,1338954469;FALSE
loss of personal independence in daily activities;Dopamine D3 receptor;Partial Agonist;0.1;0.03;0.05;0.614608;0.26;398;0,1342327150;FALSE
disturbance in attention;Serotonin 5-HT7 receptor;Antagonist;5.64;-0.49;0.94;0.617459;-0.18;399;0,1345699831;FALSE
impulsive behaviour;Dopamine D2 receptor;Antagonist;-52.83;8.17;15.75;0.617947;0.18;400;0,1349072513;FALSE
social avoidant behaviour;Serotonin 5-HT7 receptor;Inverse Agonist;-9.31;1.5;2.71;0.619838;0.3;401;0,1352445194;FALSE
family stress;Serotonin transporter;Antagonist;0.19;0.03;0.06;0.619932;0.17;402;0,1355817875;FALSE
speech disorder;Delta opioid receptor;Agonist;2.67;-0.23;0.43;0.621173;-0.26;403;0,1359190556;FALSE
language disorder;GABA A receptor;Agonist;-5.73;1.14;2.13;0.621218;0.26;404;0,1362563238;FALSE
social avoidant behaviour;Dopamine D3 receptor;Antagonist;-1;0.43;0.78;0.621823;0.3;405;0,1365935919;FALSE
social problem;Serotonin transporter;Antagonist;0.16;0.03;0.07;0.626149;0.19;406;0,1369308600;FALSE
gambling;Dopamine D1 receptor;Agonist;-101.29;20.19;35.67;0.628456;0.37;407;0,1372681282;FALSE
disturbance in attention;Adrenergic Alpha1 receptor;Antagonist;-0.46;0.2;0.4;0.628573;0.2;408;0,1376053963;FALSE
imprisonment;Serotonin 5-HT2 receptor;Inverse Agonist;13.17;-1.15;2.15;0.630199;-0.29;409;0,1379426644;FALSE
homicide;Serotonin 5-HT2 receptor;Inverse Agonist;9.92;-0.99;1.75;0.630268;-0.37;410;0,1382799325;FALSE
disability;Glucocorticoid receptor;Agonist;-0.45;0.18;0.36;0.634517;0.17;411;0,1386172007;FALSE
school refusal;Serotonin transporter;Antagonist;11.12;-0.89;1.73;0.639931;-0.29;412;0,1389544688;FALSE
impulse-control disorder;Dopamine transporter;Antagonist;3.36;-0.24;0.49;0.641981;-0.2;413;0,1392917369;FALSE
impaired work ability;Dopamine D2 receptor;Antagonist;0.89;-0.06;0.13;0.644165;-0.18;414;0,1396290051;FALSE
social avoidant behaviour;Serotonin 5-HT3 receptor;Antagonist;2.58;-0.18;0.36;0.645471;-0.28;415;0,1399662732;FALSE
disability;Mu opioid receptor;Agonist;0.13;0.04;0.09;0.650479;0.19;416;0,1403035413;FALSE
impulsive behaviour;Dopamine D4 receptor;Antagonist;-90.36;15.16;30.34;0.651673;0.28;417;0,1406408094;FALSE
social avoidant behaviour;Serotonin 5-HT6 receptor;Antagonist;-2.91;0.81;1.64;0.653636;0.28;418;0,1409780776;FALSE
impulsive behaviour;Dopamine D3 receptor;Antagonist;-117.04;17.8;36.12;0.655862;0.27;419;0,1413153457;FALSE
social avoidant behaviour;Serotonin 5-HT1 receptor;Agonist;3.21;-0.13;0.26;0.656441;-0.34;420;0,1416526138;FALSE
impulse-control disorder;Serotonin 5-HT2 receptor;Inverse Agonist;12.01;-1.17;2.41;0.658821;-0.27;421;0,1419898820;FALSE
gambling;Dopamine D2 receptor;Partial Agonist;-17.2;4.69;9.68;0.660958;0.27;422;0,1423271501;FALSE
gambling disorder;Dopamine D3 receptor;Partial Agonist;-8.92;5.41;10.68;0.662826;0.34;423;0,1426644182;FALSE
disturbance in attention;Serotonin 5-HT2 receptor;Antagonist;2.75;-0.18;0.4;0.662883;-0.1;424;0,1430016863;FALSE
loss of personal independence in daily activities;Dopamine D2 receptor;Antagonist;-0.1;0.08;0.17;0.663159;0.14;425;0,1433389545;FALSE
speech disorder;Adrenergic Alpha2 receptor;Partial Agonist;-2.24;0.48;1.03;0.664198;0.2;426;0,1436762226;FALSE
impaired work ability;Serotonin 5-HT6 receptor;Antagonist;2.91;-0.3;0.64;0.664598;-0.27;427;0,1440134907;FALSE
impaired work ability;Serotonin 5-HT1 receptor;Partial Agonist;2.78;-0.22;0.49;0.665518;-0.17;428;0,1443507589;FALSE
homicide;Dopamine D2 receptor;Antagonist;3.16;-0.2;0.43;0.666345;-0.23;429;0,1446880270;FALSE
loss of personal independence in daily activities;Dopamine D5 receptor;Agonist;0.03;0.04;0.09;0.66696;0.33;430;0,1450252951;FALSE
loss of personal independence in daily activities;Adrenergic Alpha1 receptor;Antagonist;1.25;-0.08;0.18;0.667495;-0.17;431;0,1453625632;FALSE
disability;Adrenergic Beta2 receptor;Agonist;0.06;0.25;0.51;0.668545;0.33;432;0,1456998314;FALSE
loss of employment;Dopamine D2 receptor;Antagonist;-0.08;0.09;0.2;0.670973;0.2;433;0,1460370995;FALSE
speech disorder;Muscarinic M3 receptor;Antagonist;3.1;-0.13;0.29;0.67422;-0.12;434;0,1463743676;FALSE
gambling disorder;Serotonin transporter;Antagonist;0.96;-0.06;0.13;0.675782;-0.15;435;0,1467116358;FALSE
impaired work ability;Serotonin 5-HT7 receptor;Antagonist;1.73;-0.15;0.34;0.67584;-0.26;436;0,1470489039;FALSE
social avoidant behaviour;Delta opioid receptor;Agonist;0.22;0.06;0.12;0.676109;0.32;437;0,1473861720;FALSE
verbal abuse;Histamine H1 receptor;Antagonist;-5.49;1.68;3.88;0.676214;0.15;438;0,1477234401;FALSE
aggression;Kappa opioid receptor;Agonist;2.24;-0.13;0.28;0.680983;-0.25;439;0,1480607083;FALSE
legal problem;Dopamine transporter;Antagonist;-2.92;0.7;1.48;0.681841;0.32;440;0,1483979764;FALSE
homicide;Serotonin 5-HT2 receptor;Antagonist;9.88;-0.89;2.02;0.683449;-0.21;441;0,1487352445;FALSE
impulse-control disorder;Histamine H1 receptor;Antagonist;4.68;-0.31;0.72;0.684502;-0.15;442;0,1490725126;FALSE
language disorder;Histamine H1 receptor;Antagonist;-1.38;0.51;1.2;0.685295;0.16;443;0,1494097808;FALSE
job dissatisfaction;Serotonin transporter;Antagonist;3.82;-0.19;0.46;0.686416;-0.16;444;0,1497470489;FALSE
impaired work ability;Adrenergic Beta2 receptor;Agonist;2.12;-0.06;0.13;0.687044;-0.31;445;0,1500843170;FALSE
disturbance in attention;Delta opioid receptor;Agonist;0.32;0.06;0.14;0.688662;0.21;446;0,1504215852;FALSE
impaired driving ability;Muscarinic M5 receptor;Antagonist;2.77;-0.17;0.39;0.691806;-0.21;447;0,1507588533;FALSE
aggression;GABA A receptor;Agonist;2.37;-0.13;0.31;0.692401;-0.21;448;0,1510961214;FALSE
disability;Dopamine transporter;Antagonist;0.78;-0.07;0.17;0.693159;-0.21;449;0,1514333895;FALSE
